CityName,RegionName,Address,DeptNm,BranchNm,Longitude,Latitude,direct,limit
連江縣,南竿鄉,介壽村47-10號前,連江縣警察局,南竿警察所,119.95137,26.160198,順向(往介壽村方向),30
連江縣,北竿鄉,塘岐村168號前,連江縣警察局,北竿警察所,119.99763,26.223022,順向(往機場方向),30
連江縣,北竿鄉,板里村46號前,連江縣警察局,北竿警察所,119.97415,26.216692,順向(往白沙方向),30
金門縣,金城鎮,西海路水頭路段,金門縣警察局,金城分局,118.29999,24.411718,東西雙向,50
金門縣,福建省金門縣金城鎮,西海路金城消防分隊路段,金門縣警察局,金城分局,118.31096,24.419662,南北雙向,50
金門縣,金城鎮,西海路空中大學路段(空中大學附近),金門縣警察局,金城分局,118.31264,24.422647,東西雙向,50
金門縣,金城鎮,環島南路小西門路段,金門縣警察局,金城分局,118.32414,24.413134,東西雙向,60
金門縣,金沙鎮,環島北路4段洋山路段(警光會館附近),金門縣警察局,金湖分局,118.40696,24.486645,東西雙向,60
金門縣,金沙鎮,高陽路蔡厝路段,金門縣警察局,金湖分局,118.419556,24.47699,東西雙向,60
金門縣,金湖鎮,環島南路環保公園路段(環保局附近),金門縣警察局,金湖分局,118.370316,24.44133,東西雙向,60
金門縣,福建省金門縣金湖鎮,瓊徑路小徑路段(小徑茶室附近),金門縣警察局,金湖分局,118.38353,24.449205,南北雙向,50
金門縣,金湖鎮,環島南路后園路段(168加油站附近),金門縣警察局,金湖分局,118.4034,24.437878,東西雙向,50
金門縣,福建省金門縣金湖鎮,太湖路鑑潭山莊路段(鑑潭山莊附近),金門縣警察局,金湖分局,118.40811,24.44457,東西雙向,50
金門縣,金湖鎮,黃海路監理站路段,金門縣警察局,金湖分局,118.41738,24.446644,南北雙向,50
金門縣,金湖鎮,金港路料羅路段,金門縣警察局,金湖分局,118.43421,24.419786,南北雙向,50
金門縣,金寧鄉,慈湖路湖下路段,金門縣警察局,金城分局,118.309654,24.449041,南北雙向,50
金門縣,金寧鄉,環島北路鎮西路段,金門縣警察局,金城分局,118.33072,24.448359,東西雙向,60
金門縣,金寧鄉,環島南路后湖路段,金門縣警察局,金城分局,118.3318,24.416346,東西雙向,60
金門縣,金寧鄉,桃園路金寧加油站路段(金寧加油站附近),金門縣警察局,金城分局,118.337685,24.430235,東西雙向,60
金門縣,金寧鄉,環島北路頂堡路段(環北頂林路口附近),金門縣警察局,金城分局,118.33837,24.44981,東西雙向,60
金門縣,金寧鄉,伯玉路盤果路口,金門縣警察局,金城分局,118.340614,24.441227,東往西向,70
金門縣,金寧鄉,環島南路中心教練場路段(中心教練場附近),金門縣警察局,金城分局,118.34236,24.4258,東西雙向,60
金門縣,金寧鄉,桃園路雙乳山路段,金門縣警察局,金城分局,118.35565,24.436016,東西雙向,60
金門縣,金寧鄉,環島北路后盤山路段,金門縣警察局,金城分局,118.35793,24.453362,東西雙向,60
金門縣,金湖鎮,黃海路陽明湖路段(陽明營區附近),金門縣警察局,金湖分局,118.43147,24.458809,南北雙向,60
宜蘭縣,宜蘭市,宜興橋南端(往羅東)+50m南下,宜蘭縣政府警察局,宜蘭分局,121.75987,24.760712,北向南,50
宜蘭縣,宜蘭市,中山路1段560號前北上,宜蘭縣政府警察局,宜蘭分局,121.76105,24.738028,南向北,60
宜蘭縣,宜蘭市,宜16線5.5K南津路東向,宜蘭縣政府警察局,宜蘭分局,121.76525,24.718306,東西雙向,50
宜蘭縣,宜蘭市,台9線79k+550m環市東路與192甲線路口北上,宜蘭縣政府警察局,宜蘭分局,121.770744,24.767035,南向北,70
宜蘭縣,宜蘭市,台9線80k+700m環市東路黎霧橋南端南下,宜蘭縣政府警察局,宜蘭分局,121.771355,24.756819,北向南,70
宜蘭縣,宜蘭市,台9線81k+650m環市東路北上,宜蘭縣政府警察局,宜蘭分局,121.77159,24.748297,南向北,70
宜蘭縣,宜蘭市,191線與宜14線路口北上,宜蘭縣政府警察局,宜蘭分局,121.78176,24.744093,南向北,60
宜蘭縣,羅東鎮,公正路324號西向,宜蘭縣政府警察局,羅東分局,121.76142,24.68059,東向西,40
宜蘭縣,蘇澳鎮,台9線100k+242m新城段北上,宜蘭縣政府警察局,蘇澳分局,121.821266,24.615463,南北雙向,60
